coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date,SourceFile,price_ma7,price_ma30,volatility_7d,volume_change_pct,price_change_pct,liquidity_ratio,liquidity_ratio_7d
Bitcoin,BTC,0.991318930147484,0.9086357947434294,0.552739165985282,0.1186604723190088,0.6108704964347693,0.9934460122575236,2022-03-16,coin_gecko_2022-03-16.csv,0.991318930147484,0.991318930147484,0.0,0.0,0.0,0.6149005470831946,0.6149005470831946
Ethereum,ETH,0.0665839828789877,0.9111389236545684,0.5560098119378577,0.1205962059620596,0.3408769457657339,0.4214352373551158,2022-03-16,coin_gecko_2022-03-16.csv,0.5289514565132358,0.5289514565132358,0.6538863520137381,-0.4419816511761526,-0.9328329351391669,0.8088477553634161,0.7118741512233053
Tether,USDT,2.4261674742554175e-05,0.8798498122653317,0.5273916598528209,0.1080139372822299,1.0,0.102961577292696,2022-03-16,coin_gecko_2022-03-16.csv,0.3526423915670714,0.3526423915670714,0.5541104040004028,1.933609950516411,-0.9996356229577518,9.712360924281791,3.712036408909467
BNB,BNB,0.0093026539603066,0.9036295369211514,0.5511038430089941,0.1087882307394502,0.0240934621393307,0.0824446970445735,2022-03-16,coin_gecko_2022-03-16.csv,0.2668074571653802,0.2668074571653802,0.483903678848002,-0.9759065378606693,382.4300005675227,0.292237863719781,2.8570867726120457
USD Coin,USDC,2.425861777153208e-05,0.8798498122653317,0.5282093213409648,0.1080139372822299,0.0668382787233985,0.0672108030444311,2022-03-16,coin_gecko_2022-03-16.csv,0.21345081745585848,0.21345081745585848,0.43572552462236047,1.7741251272597398,-0.9973922906436119,0.9944573743481931,2.4845608929592755
XRP,XRP,1.9045851375310117e-05,0.904881101376721,0.543744889615699,0.1252419667053813,0.067751907777548,0.0482789335318631,2022-03-16,coin_gecko_2022-03-16.csv,0.17787885552177796,0.17787885552177796,0.39934643243803125,0.013669248694007097,-0.2148830755864103,1.4033430902700685,2.3043579258444074
Terra,LUNA,0.0021716625093927,0.9111389236545684,0.5241210139002452,0.1169183120402632,0.0459395820762871,0.0423707456073738,2022-03-16,coin_gecko_2022-03-16.csv,0.15277782794858005,0.15277782794858005,0.3705514926171066,-0.3219440812335205,113.02286338367163,1.0842287861059545,2.1300537630246286
Solana,SOL,0.0020770419777563,0.9111389236545684,0.5396565821749794,0.1159504452187378,0.0306579487535298,0.0353991084674468,2022-03-16,coin_gecko_2022-03-16.csv,0.011457558210047528,0.13394022970222708,0.02452912699582552,-0.332646328766785,-0.0435705507771833,0.8660655615585066,2.1659344793782447
Cardano,ADA,1.999552611116723e-05,0.9011264080100124,0.5412919051512673,0.1134339914827719,0.0164100946655623,0.0338475810573065,2022-03-16,coin_gecko_2022-03-16.csv,0.0019484171596365948,0.11906020368265866,0.003391096819034249,-0.4647360527121722,-0.9903730755924504,0.48482326219350136,2.1196452660682565
Polkadot,DOT,0.0004500540671062,0.9198998748435544,0.5568274734260016,0.1264034068912117,0.0131561120018374,0.0259139082590641,2022-03-16,coin_gecko_2022-03-16.csv,0.0020092446442599725,0.10719918872110341,0.0033544508632361715,-0.19829152299490416,21.507738211241712,0.5076853661097488,0.804691614900822
